I (294550) gaga.wake: [A],293727,1.082,0.082,0.020,0.028,1.081,0.281,1.594,0.156
I (294561) gaga.wake: [A],293738,1.078,0.078,0.021,0.027,1.078,0.281,1.594,0.000
I (294572) gaga.wake: [A],293749,1.077,0.077,0.020,0.027,1.077,-0.062,1.312,0.062
I (294583) gaga.wake: [A],293760,1.080,0.080,0.018,0.026,1.079,1.188,1.188,-0.312
I (294594) gaga.wake: [A],293771,1.077,0.077,0.022,0.028,1.077,0.375,1.562,-0.469
I (294605) gaga.wake: [A],293782,1.080,0.080,0.019,0.028,1.080,0.375,1.250,-0.406
I (294616) gaga.wake: [A],293793,1.081,0.081,0.021,0.027,1.081,0.375,1.406,-0.281
I (294627) gaga.wake: [A],293804,1.078,0.078,0.022,0.026,1.078,0.375,1.594,-0.062
I (294638) gaga.wake: [A],293815,1.080,0.080,0.018,0.027,1.080,0.500,1.219,-0.344
I (294649) gaga.wake: [A],293826,1.080,0.080,0.021,0.025,1.080,0.406,1.125,-0.562
I (294660) gaga.wake: [A],293837,1.080,0.080,0.020,0.027,1.079,0.844,1.594,-0.062
I (294671) gaga.wake: [A],293848,1.077,0.077,0.022,0.027,1.077,0.469,1.625,-0.031
I (294682) gaga.wake: [A],293859,1.079,0.079,0.021,0.028,1.079,0.719,1.375,-0.500
I (294693) gaga.wake: [A],293870,1.079,0.079,0.018,0.028,1.079,0.281,1.906,-0.156
I (294704) gaga.wake: [A],293881,1.078,0.078,0.020,0.029,1.077,0.688,1.812,-0.375
I (294715) gaga.wake: [A],293892,1.080,0.080,0.021,0.028,1.080,0.500,1.438,-0.531
I (294726) gaga.wake: [A],293903,1.080,0.080,0.021,0.028,1.079,0.469,1.562,-0.375
I (294737) gaga.wake: [A],293914,1.081,0.081,0.020,0.025,1.080,0.562,1.219,-0.281
I (294748) gaga.wake: [A],293925,1.082,0.082,0.019,0.028,1.082,0.656,1.312,-0.312
I (294759) gaga.wake: [A],293936,1.080,0.080,0.023,0.027,1.080,0.875,1.344,-0.250
I (294770) gaga.wake: [A],293947,1.079,0.079,0.020,0.026,1.079,0.719,1.469,-0.531
I (294781) gaga.wake: [A],293958,1.079,0.079,0.021,0.027,1.078,0.062,1.375,-0.781
I (294792) gaga.wake: [A],293969,1.079,0.079,0.021,0.027,1.078,-0.125,1.500,-0.688
I (294803) gaga.wake: [A],293980,1.078,0.078,0.020,0.028,1.077,0.531,1.375,-0.125
I (294814) gaga.wake: [A],293991,1.079,0.079,0.020,0.029,1.079,0.656,1.312,-0.438
I (294825) gaga.wake: [A],294002,1.080,0.080,0.022,0.028,1.080,1.281,1.094,-0.156
I (294836) gaga.wake: [A],294013,1.080,0.080,0.020,0.026,1.079,0.500,1.156,-0.031
I (294847) gaga.wake: [A],294024,1.080,0.080,0.021,0.026,1.079,0.625,1.344,-0.656
I (294858) gaga.wake: [A],294035,1.080,0.080,0.021,0.028,1.079,0.875,1.469,-0.375
I (294869) gaga.wake: [A],294046,1.080,0.080,0.020,0.025,1.080,0.531,0.938,-0.438
I (294880) gaga.wake: [A],294057,1.079,0.079,0.021,0.026,1.078,0.250,1.469,-0.250
I (294891) gaga.wake: [A],294068,1.077,0.077,0.020,0.028,1.076,0.000,1.906,-0.500
I (294902) gaga.wake: [A],294079,1.077,0.077,0.022,0.028,1.077,0.312,1.156,-0.406
I (294913) gaga.wake: [A],294090,1.081,0.081,0.020,0.028,1.081,0.031,1.531,-0.281
I (294924) gaga.wake: [A],294101,1.080,0.080,0.020,0.025,1.079,0.531,1.719,-0.438
I (294935) gaga.wake: [A],294112,1.076,0.076,0.020,0.026,1.075,0.219,1.719,-0.719
I (294946) gaga.wake: [A],294123,1.079,0.079,0.022,0.027,1.079,0.906,1.000,-0.562
I (294957) gaga.wake: [A],294134,1.078,0.078,0.019,0.029,1.078,0.438,1.344,-0.375
I (294968) gaga.wake: [A],294145,1.080,0.080,0.021,0.028,1.079,0.656,1.125,0.031
I (294979) gaga.wake: [A],294156,1.076,0.076,0.021,0.027,1.076,0.094,1.438,-0.406
I (294990) gaga.wake: [A],294167,1.079,0.079,0.021,0.026,1.079,0.719,1.438,0.125
I (295001) gaga.wake: [A],294178,1.079,0.079,0.021,0.027,1.079,0.219,1.344,-0.281
I (295012) gaga.wake: [A],294189,1.079,0.079,0.019,0.031,1.079,0.500,1.500,0.031
I (295023) gaga.wake: [A],294200,1.079,0.079,0.020,0.029,1.078,0.344,1.562,0.000
I (295034) gaga.wake: [A],294211,1.077,0.077,0.020,0.027,1.076,0.688,1.438,-0.094
I (295045) gaga.wake: [A],294222,1.079,0.079,0.021,0.028,1.079,0.031,1.938,-0.156
I (295056) gaga.wake: [A],294233,1.080,0.080,0.021,0.026,1.079,0.469,1.156,-0.094
I (295067) gaga.wake: [A],294244,1.077,0.077,0.022,0.028,1.077,0.688,1.469,-0.344
